item_id	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	condition	binary_label	sentence	template_family	verb_surface	object_surface	verb_lemma	object_lemma	verb_object_FSG	violation_type	source_record_id	auto_expected_grammatical_yes_no	auto_structure_complete_yes_no	auto_error_annotation_pass_yes_no	human_corrected_event_makes_sense_yes_no	human_sentence_grammatical_yes_no	human_no_extra_errors_yes_no	human_notes_optional
ORIG_GRAM_0001	ds003604_original	reference_only	G_F	stereo_1MF04U1.wav	finiteness_violation	0	Every day she press one button	present_3s	press	button	press	button		omitt	ds003604:stereo_1MF04U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0002	ds003604_original	reference_only	G_F	stereo_1MF05U1.wav	finiteness_violation	0	Every day they naps two hours	present_3s	naps	hours	nap	hour		add	ds003604:stereo_1MF05U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0003	ds003604_original	reference_only	G_F	stereo_1MF06U1.wav	finiteness_violation	0	Every day they walks four blocks	present_3s	walks	blocks	walk	block		add	ds003604:stereo_1MF06U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0004	ds003604_original	reference_only	G_F	stereo_1MF13U3.wav	finiteness_violation	0	She not cook two meals	do_negation	cook	meals	cook	meal		omitt	ds003604:stereo_1MF13U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0005	ds003604_original	reference_only	G_F	stereo_1MF15U3.wav	finiteness_violation	0	He not wipe two shelves	do_negation	wipe	shelves	wipe	shelf		add	ds003604:stereo_1MF15U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0006	ds003604_original	reference_only	G_F	stereo_2MF55U2.wav	finiteness_violation	0	He packing three bags	be_progressive	packing	bags	pack	bag		omitt	ds003604:stereo_2MF55U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0007	ds003604_original	reference_only	G_F	stereo_2MF57U2.wav	finiteness_violation	0	She walking two blocks	be_progressive	walking	blocks	walk	block		omitt	ds003604:stereo_2MF57U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0008	ds003604_original	reference_only	G_F	stereo_2MF61U3.wav	finiteness_violation	0	She not pick one color	do_negation	pick	color	pick	color		omitt	ds003604:stereo_2MF61U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0009	ds003604_original	reference_only	G_F	stereo_2MF68U4.wav	finiteness_violation	0	Last week she spill two cups	simple_past	spill	cups	spill	cup		omitt	ds003604:stereo_2MF68U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0010	ds003604_original	reference_only	G_F	stereo_2MF69U4.wav	finiteness_violation	0	Last week they cancel one meeting	simple_past	cancel	meeting	cancel	meeting		n/a	ds003604:stereo_2MF69U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0011	ds003604_original	reference_only	G_G	stereo_1MF11G2.wav	grammatical	1	She is moving one box	be_progressive	moving	box	move	box		n/a	ds003604:stereo_1MF11G2.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0012	ds003604_original	reference_only	G_G	stereo_1MF12G2.wav	grammatical	1	He is popping three bubbles	be_progressive	popping	bubbles	pop	bubble		n/a	ds003604:stereo_1MF12G2.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0013	ds003604_original	reference_only	G_G	stereo_1MF23G4.wav	grammatical	1	Last week he picked two flowers	simple_past	picked	flowers	pick	flower		n/a	ds003604:stereo_1MF23G4.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0014	ds003604_original	reference_only	G_G	stereo_1MP35G2.wav	grammatical	1	She is playing two songs	be_progressive	playing	songs	play	song		n/a	ds003604:stereo_1MP35G2.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0015	ds003604_original	reference_only	G_G	stereo_1MP41G3.wav	grammatical	1	She does not climb four stairs	do_negation	climb	stairs	climb	stair		n/a	ds003604:stereo_1MP41G3.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0016	ds003604_original	reference_only	G_G	stereo_1MP47G4.wav	grammatical	1	Last week they spilled two drinks	simple_past	spilled	drinks	spill	drink		n/a	ds003604:stereo_1MP47G4.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0017	ds003604_original	reference_only	G_G	stereo_2MF50G1.wav	grammatical	1	Every day he learns six words	present_3s	learns	words	learn	word		n/a	ds003604:stereo_2MF50G1.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0018	ds003604_original	reference_only	G_G	stereo_2MP77G1.wav	grammatical	1	Every day he tricks one teacher	present_3s	tricks	teacher	trick	teacher		n/a	ds003604:stereo_2MP77G1.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0019	ds003604_original	reference_only	G_G	stereo_2MP83G2.wav	grammatical	1	He does not water two plants	do_negation	water	plants	water	plant		n/a	ds003604:stereo_2MP83G2.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0020	ds003604_original	reference_only	G_G	stereo_2MP96G4.wav	grammatical	1	Last week she cooked one meal	simple_past	cooked	meal	cook	meal		n/a	ds003604:stereo_2MP96G4.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0021	ds003604_original	reference_only	G_P	stereo_1MP26U1.wav	plurality_violation	0	Every day they stir three pot	present_3s	stir	pot	stir	pot		omitt	ds003604:stereo_1MP26U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0022	ds003604_original	reference_only	G_P	stereo_1MP27U1.wav	plurality_violation	0	Every day he waters two tree	present_3s	waters	tree	water	tree		omitt	ds003604:stereo_1MP27U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0023	ds003604_original	reference_only	G_P	stereo_1MP28U1.wav	plurality_violation	0	Every day he waves one flags	present_3s	waves	flags	wave	flag		add	ds003604:stereo_1MP28U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0024	ds003604_original	reference_only	G_P	stereo_1MP37U3.wav	plurality_violation	0	They do not lock four door	do_negation	lock	door	lock	door		omitt	ds003604:stereo_1MP37U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0025	ds003604_original	reference_only	G_P	stereo_1MP38U3.wav	plurality_violation	0	She does not bake two cookie	do_negation	bake	cookie	bake	cookie		omitt	ds003604:stereo_1MP38U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0026	ds003604_original	reference_only	G_P	stereo_1MP39U3.wav	plurality_violation	0	They do not work two hour	do_negation	work	hour	work	hour		omitt	ds003604:stereo_1MP39U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0027	ds003604_original	reference_only	G_P	stereo_2MP81U2.wav	plurality_violation	0	They are sharing one toys	be_progressive	sharing	toys	share	toy		add	ds003604:stereo_2MP81U2.wav	no	yes	yes	yes	no	yes	
