item_id	task	condition	binary_label	split	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	source_resource	source_record_id	word1	word2	sentence	word1_ipa	word2_ipa	sentence_ipa	template_id	critical_word	critical_region	association_forward	association_backward	word1_subtlex	word2_subtlex	mean_content_subtlex	word1_n_phonemes	word2_n_phonemes	sentence_n_phonemes	word1_n_syllables	word2_n_syllables	childes_count_word1	childes_count_word2	subject	verb_lemma	verb_surface	object_lemma	object_surface	number_word	negation	overlap_ds003604_exact	overlap_ds003604_critical_vocab	qc_pass	qc_notes	shared_onset	shared_rime	shared_phoneme_count	phonological_relation_verified	cue	target	FSG	BSG	verb_object_FSG	verb_object_BSG	congruence_level	template_family	grammar_subtype	violation_type	violation_location	expected_form	observed_form	childes_count_verb	childes_count_object	content_word_childes_counts
CAND_MEANING_000001	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.A-B:1940	anatomy	body								0.607	0.0	3.5046174283060214	5.291212093733799	4.39791476101991	7	4		4	2																																	
CAND_MEANING_000002	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.D-F:1264	depressed	sad								0.527	0.045	4.211507916278137	4.801901176004613	4.506704546141375	7	3		2	1																																	
CAND_MEANING_000003	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.D-F:8421	flavor	taste								0.5	0.024	3.6989700043360187	4.710233546541945	4.204601775438982	5	4		2	1																																	
CAND_MEANING_000004	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:1580	seed	plant								0.436	0.039	3.8790171285738184	4.441032478708157	4.160024803640988	3	5		1	1																																	
CAND_MEANING_000005	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:3642	sky	blue								0.522	0.284	4.6513160283079324	5.010266691388989	4.830791359848461	3	3		1	1																																	
CAND_MEANING_000006	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.D-F:7482	feathers	bird								0.692	0.0	3.756322812887971	4.6575432555296405	4.206933034208806	5	3		2	1																																	
CAND_MEANING_000007	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.G-K:156	garage	car								0.519	0.0	4.4348192900209	5.68400001932028	5.05940965467059	4	3		2	1																																	
CAND_MEANING_000008	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.D-F:5670	esteem	self								0.584	0.028	3.226928275145631	4.150967021471702	3.688947648308667	5	4		2	1																																	
CAND_MEANING_000009	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:2304	shatter	break								0.419	0.044	3.1497623203333323	5.344546374452062	4.247154347392697	4	4		2	1																																	
CAND_MEANING_000010	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.P-R:6321	racket	ball								0.403	0.0	3.871069033870136	5.021027067285495	4.446048050577815	5	3		2	1																																	
CAND_MEANING_000011	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:2683	shortcake	strawberry								0.621	0.106	2.7074031718728815	3.7426789322214247	3.2250410520471533	7	8		2	3																																	
CAND_MEANING_000012	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.P-R:2900	plead	beg								0.493	0.25	3.845098040014257	4.7074031718728815	4.276250605943569	4	3		1	1																																	
CAND_MEANING_000013	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.C:3702	coffin	dead								0.403	0.0	3.9561307492917117	5.652227374936464	4.804179062114088	5	3		2	1																																	
CAND_MEANING_000014	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.A-B:3196	astrology	star								0.662	0.0	2.9645276818377813	4.9103732587310365	3.937450470284409	9	4		4	1																																	
CAND_MEANING_000015	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.G-K:7466	jog	run								0.783	0.14	3.3823349353414613	5.544748756843717	4.463541846092589	3	3		1	1																																	
CAND_MEANING_000016	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.A-B:7736	brunette	blonde								0.571	0.238	3.542849826210958	4.143688172621139	3.8432689994160483	6	5		2	1																																	
CAND_MEANING_000017	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.D-F:4267	earn	money								0.462	0.0	4.186191585960007	5.806698582254281	4.996445084107144	2	4		1	2																																	
CAND_MEANING_000018	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.D-F:8081	finished	done								0.547	0.0	4.922755978706011	5.685776852968543	5.304266415837277	6	3		2	1																																	
CAND_MEANING_000019	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.T-Z:1222	theater	movie								0.439	0.162	4.38092029408446	5.089766624677413	4.735343459380936	5	4		3	2																																	
CAND_MEANING_000020	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:4055	slumber	sleep								0.514	0.0	3.4385578595803015	5.357822785464055	4.398190322522178	6	4		2	1																																	
CAND_MEANING_000021	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.C:1455	cent	penny								0.486	0.0	3.976376954653576	4.3855011302781275	4.180939042465852	4	4		1	2																																	
CAND_MEANING_000022	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.L-O:7739	oak	tree								0.795	0.041	3.748795857031107	4.812913356642856	4.280854606836981	2	3		1	1																																	
CAND_MEANING_000023	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.G-K:7564	joyous	happy								0.667	0.0	3.131278914639319	5.522699881313269	4.326989397976294	4	4		2	2																																	
CAND_MEANING_000024	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.P-R:1344	pen	pencil								0.594	0.476	4.393144910475145	3.993997808957991	4.193571359716568	3	6		1	2																																	
CAND_MEANING_000025	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.L-O:4870	mink	coat								0.517	0.014	3.568891628075308	4.624059541531996	4.0964755848036525	4	3		1	1																																	
CAND_MEANING_000026	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.A-B:7686	brother	sister								0.746	0.538	5.453228377440418	5.256547967053549	5.354888172246984	5	5		2	2																																	
CAND_MEANING_000027	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.P-R:6440	railroad	train								0.5	0.045	4.094519081783797	4.977992435060294	4.536255758422046	6	4		2	1																																	
CAND_MEANING_000028	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:2493	shine	sun								0.449	0.087	4.314858195087551	4.843025031391392	4.578941613239471	3	3		1	1																																	
CAND_MEANING_000029	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.G-K:5396	icing	cake								0.812	0.054	3.1436881726211388	4.65377984825433	3.8987340104377344	4	3		2	1																																	
CAND_MEANING_000030	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.C:1997	checking	account								0.44	0.035	4.511490156350925	4.650364670902517	4.580927413626721	5	5		2	2																																	
CAND_MEANING_000031	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.G-K:7876	ketchup	mustard								0.479	0.584	3.7837915177363364	3.809625721852038	3.7967086197941873	5	6		2	2																																	
CAND_MEANING_000032	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.D-F:8525	flight	airplane								0.669	0.051	4.775874472000599	4.038285019075793	4.407079745538196	4	6		1	2																																	
CAND_MEANING_000033	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.G-K:1621	grasp	hold								0.533	0.108	3.6597857449280826	5.6402085409674285	4.649997142947756	5	4		1	1																																	
CAND_MEANING_000034	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.P-R:7540	regulations	rules								0.662	0.178	3.8043131848809377	4.828735696253097	4.316524440567017	11	4		4	1																																	
CAND_MEANING_000035	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.T-Z:531	taxi	cab								0.537	0.386	4.412345234160055	4.553930597100344	4.483137915630199	5	3		2	1																																	
CAND_MEANING_000036	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:4393	sneaker	shoe								0.628	0.045	2.8364978682523394	4.482761522072355	3.659629695162347	5	2		2	1																																	
CAND_MEANING_000037	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.L-O:2880	malaria	disease								0.426	0.0	3.2218487496163566	4.417911089602658	3.819879919609507	7	5		4	2																																	
CAND_MEANING_000038	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:1070	scrambled	eggs								0.66	0.0	3.857095888154153	4.587116448181507	4.22210616816783	9	3		2	1																																	
CAND_MEANING_000039	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.G-K:4453	honey	sweet								0.451	0.0	5.477830307092516	5.1619548867592915	5.319892596925904	4	4		2	1																																	
CAND_MEANING_000040	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.S:1940	serpent	snake								0.568	0.018	3.2880650184996134	4.349334675238536	3.818699846869075	6	4		2	1																																	
CAND_MEANING_000041	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.T-Z:4771	up	down								0.845	0.581	6.564666064252089	6.173266273185671	6.36896616871888	2	3		1	1																																	
CAND_MEANING_000042	Meaning	high_association	1		plus	candidate_pending_human_review			USF Appendix A	USF:Cue_Target_Pairs.A-B:7429	brick	house								0.404	0.012	4.007597181750521	5.710963118995275	4.859280150372898	4	3		1	1																																	
