item_id	task	condition	binary_label	split	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	source_resource	source_record_id	word1	word2	sentence	word1_ipa	word2_ipa	sentence_ipa	template_id	critical_word	critical_region	association_forward	association_backward	word1_subtlex	word2_subtlex	mean_content_subtlex	word1_n_phonemes	word2_n_phonemes	sentence_n_phonemes	word1_n_syllables	word2_n_syllables	childes_count_word1	childes_count_word2	subject	verb_lemma	verb_surface	object_lemma	object_surface	number_word	negation	overlap_ds003604_exact	overlap_ds003604_critical_vocab	qc_pass	qc_notes	shared_onset	shared_rime	shared_phoneme_count	phonological_relation_verified	cue	target	FSG	BSG	verb_object_FSG	verb_object_BSG	congruence_level	template_family	grammar_subtype	violation_type	violation_location	expected_form	observed_form	childes_count_verb	childes_count_object	content_word_childes_counts
CAND_PLAUS_000001	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			She is screwing one driver			"[""ʃ"", ""iː"", ""ɪ"", ""z"", ""s"", ""k"", ""ɹ"", ""uː"", ""ɪ"", ""ŋ"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	be_progressive	driver	is screwing driver	0.302	0.0			4.6247222328466515			19					she	screw	screwing	driver	driver	one	0													0.302	0.0	strong_congruence	be_progressive						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000002	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			She does not screw one driver			"[""ʃ"", ""iː"", ""d"", ""ʌ"", ""z"", ""n"", ""ɑ"", ""t"", ""s"", ""k"", ""ɹ"", ""uː"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	do_negation	driver	does not screw driver	0.302	0.0			4.6247222328466515			21					she	screw	screw	driver	driver	one	1													0.302	0.0	strong_congruence	do_negation						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000003	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Every day she screws one driver			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""z"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	present_3s	driver	screws driver	0.302	0.0			4.6247222328466515			22					she	screw	screws	driver	driver	one	0													0.302	0.0	strong_congruence	present_3s						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000004	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Last week she screwed one driver			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""ʃ"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""d"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	simple_past	driver	screwed driver	0.302	0.0			4.6247222328466515			23					she	screw	screwed	driver	driver	one	0													0.302	0.0	strong_congruence	simple_past						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000005	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			He is screwing one driver			"[""h"", ""iː"", ""ɪ"", ""z"", ""s"", ""k"", ""ɹ"", ""uː"", ""ɪ"", ""ŋ"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	be_progressive	driver	is screwing driver	0.302	0.0			4.6247222328466515			19					he	screw	screwing	driver	driver	one	0													0.302	0.0	strong_congruence	be_progressive						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000006	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			He does not screw one driver			"[""h"", ""iː"", ""d"", ""ʌ"", ""z"", ""n"", ""ɑ"", ""t"", ""s"", ""k"", ""ɹ"", ""uː"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	do_negation	driver	does not screw driver	0.302	0.0			4.6247222328466515			21					he	screw	screw	driver	driver	one	1													0.302	0.0	strong_congruence	do_negation						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000007	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Every day he screws one driver			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""z"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	present_3s	driver	screws driver	0.302	0.0			4.6247222328466515			22					he	screw	screws	driver	driver	one	0													0.302	0.0	strong_congruence	present_3s						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000008	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Last week he screwed one driver			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""h"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""d"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	simple_past	driver	screwed driver	0.302	0.0			4.6247222328466515			23					he	screw	screwed	driver	driver	one	0													0.302	0.0	strong_congruence	simple_past						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000009	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			They are screwing one driver			"[""ð"", ""eɪ"", ""ɑ"", ""ɹ"", ""s"", ""k"", ""ɹ"", ""uː"", ""ɪ"", ""ŋ"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	be_progressive	driver	are screwing driver	0.302	0.0			4.6247222328466515			19					they	screw	screwing	driver	driver	one	0													0.302	0.0	strong_congruence	be_progressive						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000010	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			They do not screw one driver			"[""ð"", ""eɪ"", ""d"", ""uː"", ""n"", ""ɑ"", ""t"", ""s"", ""k"", ""ɹ"", ""uː"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	do_negation	driver	do not screw driver	0.302	0.0			4.6247222328466515			20					they	screw	screw	driver	driver	one	1													0.302	0.0	strong_congruence	do_negation						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000011	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Every day they screw one driver			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ð"", ""eɪ"", ""s"", ""k"", ""ɹ"", ""uː"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	present_3s	driver	screw driver	0.302	0.0			4.6247222328466515			21					they	screw	screw	driver	driver	one	0													0.302	0.0	strong_congruence	present_3s						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000012	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Last week they screwed one driver			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""ð"", ""eɪ"", ""s"", ""k"", ""ɹ"", ""uː"", ""d"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	simple_past	driver	screwed driver	0.302	0.0			4.6247222328466515			23					they	screw	screwed	driver	driver	one	0													0.302	0.0	strong_congruence	simple_past						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000013	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			She is screwing two drivers			"[""ʃ"", ""iː"", ""ɪ"", ""z"", ""s"", ""k"", ""ɹ"", ""uː"", ""ɪ"", ""ŋ"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	be_progressive	drivers	is screwing drivers	0.302	0.0			4.6247222328466515			19					she	screw	screwing	driver	drivers	two	0													0.302	0.0	strong_congruence	be_progressive						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000014	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			She does not screw two drivers			"[""ʃ"", ""iː"", ""d"", ""ʌ"", ""z"", ""n"", ""ɑ"", ""t"", ""s"", ""k"", ""ɹ"", ""uː"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	do_negation	drivers	does not screw drivers	0.302	0.0			4.6247222328466515			21					she	screw	screw	driver	drivers	two	1													0.302	0.0	strong_congruence	do_negation						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000015	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Every day she screws two drivers			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""z"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	present_3s	drivers	screws drivers	0.302	0.0			4.6247222328466515			22					she	screw	screws	driver	drivers	two	0													0.302	0.0	strong_congruence	present_3s						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000016	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Last week she screwed two drivers			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""ʃ"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""d"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	simple_past	drivers	screwed drivers	0.302	0.0			4.6247222328466515			23					she	screw	screwed	driver	drivers	two	0													0.302	0.0	strong_congruence	simple_past						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000017	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			He is screwing two drivers			"[""h"", ""iː"", ""ɪ"", ""z"", ""s"", ""k"", ""ɹ"", ""uː"", ""ɪ"", ""ŋ"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	be_progressive	drivers	is screwing drivers	0.302	0.0			4.6247222328466515			19					he	screw	screwing	driver	drivers	two	0													0.302	0.0	strong_congruence	be_progressive						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000018	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			He does not screw two drivers			"[""h"", ""iː"", ""d"", ""ʌ"", ""z"", ""n"", ""ɑ"", ""t"", ""s"", ""k"", ""ɹ"", ""uː"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	do_negation	drivers	does not screw drivers	0.302	0.0			4.6247222328466515			21					he	screw	screw	driver	drivers	two	1													0.302	0.0	strong_congruence	do_negation						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000019	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Every day he screws two drivers			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""z"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	present_3s	drivers	screws drivers	0.302	0.0			4.6247222328466515			22					he	screw	screws	driver	drivers	two	0													0.302	0.0	strong_congruence	present_3s						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000020	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Last week he screwed two drivers			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""h"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""d"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	simple_past	drivers	screwed drivers	0.302	0.0			4.6247222328466515			23					he	screw	screwed	driver	drivers	two	0													0.302	0.0	strong_congruence	simple_past						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000021	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			They are screwing two drivers			"[""ð"", ""eɪ"", ""ɑ"", ""ɹ"", ""s"", ""k"", ""ɹ"", ""uː"", ""ɪ"", ""ŋ"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	be_progressive	drivers	are screwing drivers	0.302	0.0			4.6247222328466515			19					they	screw	screwing	driver	drivers	two	0													0.302	0.0	strong_congruence	be_progressive						816	850	"{""driver"": 850, ""screw"": 816}"
CAND_PLAUS_000022	Plausibility	strong_congruence	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			They do not screw two drivers			"[""ð"", ""eɪ"", ""d"", ""uː"", ""n"", ""ɑ"", ""t"", ""s"", ""k"", ""ɹ"", ""uː"", ""t"", ""uː"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ"", ""z""]"	do_negation	drivers	do not screw drivers	0.302	0.0			4.6247222328466515			20					they	screw	screw	driver	drivers	two	1													0.302	0.0	strong_congruence	do_negation						816	850	"{""driver"": 850, ""screw"": 816}"
