item_id	task	condition	binary_label	split	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	source_resource	source_record_id	word1	word2	sentence	word1_ipa	word2_ipa	sentence_ipa	template_id	critical_word	critical_region	association_forward	association_backward	word1_subtlex	word2_subtlex	mean_content_subtlex	word1_n_phonemes	word2_n_phonemes	sentence_n_phonemes	word1_n_syllables	word2_n_syllables	childes_count_word1	childes_count_word2	subject	verb_lemma	verb_surface	object_lemma	object_surface	number_word	negation	overlap_ds003604_exact	overlap_ds003604_critical_vocab	qc_pass	qc_notes	shared_onset	shared_rime	shared_phoneme_count	phonological_relation_verified	cue	target	FSG	BSG	verb_object_FSG	verb_object_BSG	congruence_level	template_family	grammar_subtype	violation_type	violation_location	expected_form	observed_form	childes_count_verb	childes_count_object	content_word_childes_counts
MEANING_0001	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.A-B:473	acre	land		"[""eɪ"", ""k"", ""ə"", ""ɹ""]"	"[""l"", ""æ"", ""n"", ""d""]"					0.675	0.02	3.260912772455999	4.945062891985174	4.102987832220586	3	4		2	1	10	485								0	0	1						acre	land	0.675	0.02												
MEANING_0002	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.A-B:4558	bashful	shy		"[""b"", ""æ"", ""ʃ"", ""f"", ""ə"", ""l""]"	"[""ʃ"", ""aɪ""]"					0.73	0.076	3.0917703733556454	4.264169414789842	3.677969894072744	6	2		2	1	16	166								0	0	1						bashful	shy	0.73	0.076												
MEANING_0003	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.A-B:4818	beam	light		"[""b"", ""iː"", ""m""]"	"[""l"", ""aɪ"", ""t""]"					0.454	0.0	3.9407898348829953	5.21799973344544	4.579394784164218	3	3		1	1	35	3237								0	0	1						beam	light	0.454	0.0												
MEANING_0004	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.A-B:5187	behind	front		"[""b"", ""ɪ"", ""h"", ""aɪ"", ""n"", ""d""]"	"[""f"", ""ɹ"", ""ʌ"", ""n"", ""t""]"					0.466	0.0	5.2738406640679525	5.258993907999374	5.266417286033663	6	5		2	1	1890	966								0	0	1						behind	front	0.466	0.0												
MEANING_0005	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.A-B:7429	brick	house		"[""b"", ""ɹ"", ""ɪ"", ""k""]"	"[""h"", ""aʊ"", ""s""]"					0.404	0.012	4.007597181750521	5.710963118995275	4.859280150372898	4	3		1	1	88	9367								0	0	1						brick	house	0.404	0.012												
MEANING_0006	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.A-B:8457	buyer	seller		"[""b"", ""aɪ"", ""ə"", ""ɹ""]"	"[""s"", ""ɛ"", ""l"", ""ə"", ""ɹ""]"					0.572	0.513	3.7140337507718946	3.3416478465722452	3.52784079867207	3	4		2	2	7	9								0	0	1						buyer	seller	0.572	0.513												
MEANING_0007	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:183	calculator	math		"[""k"", ""æ"", ""l"", ""k"", ""j"", ""ʊ"", ""l"", ""eɪ"", ""t"", ""ə"", ""ɹ""]"	"[""m"", ""æ"", ""θ""]"					0.496	0.012	3.1119737594439325	4.21463610134108	3.6633049303925063	10	3		4	1	31	221								0	0	1						calculator	math	0.496	0.012												
MEANING_0008	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:210	calf	cow		"[""k"", ""æ"", ""f""]"	"[""k"", ""aʊ""]"					0.697	0.194	3.471406771195233	4.40670712046365	3.9390569458294413	3	2		1	1	192	3147								0	0	1						calf	cow	0.697	0.194												
MEANING_0009	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:405	canary	bird		"[""k"", ""ə"", ""n"", ""ɛ"", ""ɹ"", ""i""]"	"[""b"", ""ɜː"", ""d""]"					0.692	0.03	3.4656160923143378	4.6575432555296405	4.061579673921989	6	3		3	1	16	4830								0	0	1						canary	bird	0.692	0.03												
MEANING_0010	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:1780	chapel	church		"[""t̠ʃ"", ""æ"", ""p"", ""ə"", ""l""]"	"[""t̠ʃ"", ""ɜː"", ""t̠ʃ""]"					0.621	0.0	3.900955857479258	4.843025031391392	4.371990444435324	5	3		2	1	6	293								0	0	1						chapel	church	0.621	0.0												
MEANING_0011	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:1843	charge	card		"[""t̠ʃ"", ""ɑ"", ""ɹ"", ""d̠ʒ""]"	"[""k"", ""ɑ"", ""ɹ"", ""d""]"					0.479	0.0	4.9512994161040265	4.931617383837818	4.941458399970922	4	4		1	1	138	658								0	0	1						charge	card	0.479	0.0												
MEANING_0012	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:2101	chef	cook		"[""ʃ"", ""ɛ"", ""f""]"	"[""k"", ""ʊ"", ""k""]"					0.622	0.047	4.07490244806835	4.6586659476203565	4.366784197844353	3	3		1	1	45	1844								0	0	1						chef	cook	0.622	0.047												
MEANING_0013	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:2560	choose	pick		"[""t̠ʃ"", ""uː"", ""z""]"	"[""p"", ""ɪ"", ""k""]"					0.439	0.304	4.681773135154142	5.297524498974612	4.989648817064377	3	3		1	1	283	4409								0	0	1						choose	pick	0.439	0.304												
MEANING_0014	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:2616	chowder	clam		"[""t̠ʃ"", ""aʊ"", ""d"", ""ə"", ""ɹ""]"	"[""k"", ""l"", ""æ"", ""m""]"					0.755	0.042	3.2062436762857804	3.5934598195660445	3.3998517479259123	4	4		2	1	38	76								0	0	1						chowder	clam	0.755	0.042												
MEANING_0015	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:2815	citrus	fruit		"[""s"", ""ɪ"", ""t"", ""ɹ"", ""ə"", ""s""]"	"[""f"", ""ɹ"", ""uː"", ""t""]"					0.426	0.0	2.7074031718728815	4.336969584294475	3.522186378083678	6	4		2	1	9	916								0	0	1						citrus	fruit	0.426	0.0												
MEANING_0016	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:4745	condom	sex		"[""k"", ""ɑ"", ""n"", ""d"", ""ə"", ""m""]"	"[""s"", ""ɛ"", ""k"", ""s""]"					0.533	0.0	3.7123855723918213	5.182347507338269	4.447366539865046	6	4		2	1	0	17								0	0	1	unseen_phase1:condom					condom	sex	0.533	0.0												
MEANING_0017	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:5719	corpse	dead		"[""k"", ""ɔ"", ""ɹ"", ""p"", ""s""]"	"[""d"", ""ɛ"", ""d""]"					0.537	0.0	4.004237052943255	5.652227374936464	4.8282322139398595	5	3		1	1	1	839								0	0	1						corpse	dead	0.537	0.0												
MEANING_0018	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.C:7036	crust	pie		"[""k"", ""ɹ"", ""ʌ"", ""s"", ""t""]"	"[""p"", ""aɪ""]"					0.46	0.016	3.5125379119421187	4.458563794207173	3.9855508530746455	5	2		1	1	128	2176								0	0	1						crust	pie	0.46	0.016												
MEANING_0019	Meaning	high_association	1	train					USF Appendix A	USF:Cue_Target_Pairs.D-F:1274	depression	sad		"[""d"", ""ɪ"", ""p"", ""ɹ"", ""ɛ"", ""ʃ"", ""ə"", ""n""]"	"[""s"", ""æ"", ""d""]"					0.422	0.0	3.900955857479258	4.801901176004613	4.351428516741935	8	3		3	1	0	1096								0	0	1	unseen_phase1:depression					depression	sad	0.422	0.0												
