item_id	task	condition	binary_label	split	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	source_resource	source_record_id	word1	word2	sentence	word1_ipa	word2_ipa	sentence_ipa	template_id	critical_word	critical_region	association_forward	association_backward	word1_subtlex	word2_subtlex	mean_content_subtlex	word1_n_phonemes	word2_n_phonemes	sentence_n_phonemes	word1_n_syllables	word2_n_syllables	childes_count_word1	childes_count_word2	subject	verb_lemma	verb_surface	object_lemma	object_surface	number_word	negation	overlap_ds003604_exact	overlap_ds003604_critical_vocab	qc_pass	qc_notes	shared_onset	shared_rime	shared_phoneme_count	phonological_relation_verified	cue	target	FSG	BSG	verb_object_FSG	verb_object_BSG	congruence_level	template_family	grammar_subtype	violation_type	violation_location	expected_form	observed_form	childes_count_verb	childes_count_object	content_word_childes_counts
CAND_GRAM_000001	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			She is buckling one belt			"[""ʃ"", ""iː"", ""ɪ"", ""z"", ""b"", ""ʌ"", ""k"", ""l"", ""ɪ"", ""ŋ"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	be_progressive	belt	is buckling belt	0.667	0.213			4.044457183487992			17					she	buckle	buckling	belt	belt	one	0													0.667	0.213	grammatical	be_progressive	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000002	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			She does not buckle one belt			"[""ʃ"", ""iː"", ""d"", ""ʌ"", ""z"", ""n"", ""ɑ"", ""t"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	do_negation	belt	does not buckle belt	0.667	0.213			4.044457183487992			20					she	buckle	buckle	belt	belt	one	1													0.667	0.213	grammatical	do_negation	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000003	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Every day she buckles one belt			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""z"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	present_3s	belt	buckles belt	0.667	0.213			4.044457183487992			21					she	buckle	buckles	belt	belt	one	0													0.667	0.213	grammatical	present_3s	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000004	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Last week she buckled one belt			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""ʃ"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""d"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	simple_past	belt	buckled belt	0.667	0.213			4.044457183487992			22					she	buckle	buckled	belt	belt	one	0													0.667	0.213	grammatical	simple_past	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000005	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			He is buckling one belt			"[""h"", ""iː"", ""ɪ"", ""z"", ""b"", ""ʌ"", ""k"", ""l"", ""ɪ"", ""ŋ"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	be_progressive	belt	is buckling belt	0.667	0.213			4.044457183487992			17					he	buckle	buckling	belt	belt	one	0													0.667	0.213	grammatical	be_progressive	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000006	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			He does not buckle one belt			"[""h"", ""iː"", ""d"", ""ʌ"", ""z"", ""n"", ""ɑ"", ""t"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	do_negation	belt	does not buckle belt	0.667	0.213			4.044457183487992			20					he	buckle	buckle	belt	belt	one	1													0.667	0.213	grammatical	do_negation	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000007	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Every day he buckles one belt			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""z"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	present_3s	belt	buckles belt	0.667	0.213			4.044457183487992			21					he	buckle	buckles	belt	belt	one	0													0.667	0.213	grammatical	present_3s	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000008	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Last week he buckled one belt			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""h"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""d"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	simple_past	belt	buckled belt	0.667	0.213			4.044457183487992			22					he	buckle	buckled	belt	belt	one	0													0.667	0.213	grammatical	simple_past	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000009	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			They are buckling one belt			"[""ð"", ""eɪ"", ""ɑ"", ""ɹ"", ""b"", ""ʌ"", ""k"", ""l"", ""ɪ"", ""ŋ"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	be_progressive	belt	are buckling belt	0.667	0.213			4.044457183487992			17					they	buckle	buckling	belt	belt	one	0													0.667	0.213	grammatical	be_progressive	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000010	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			They do not buckle one belt			"[""ð"", ""eɪ"", ""d"", ""uː"", ""n"", ""ɑ"", ""t"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	do_negation	belt	do not buckle belt	0.667	0.213			4.044457183487992			19					they	buckle	buckle	belt	belt	one	1													0.667	0.213	grammatical	do_negation	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000011	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Every day they buckle one belt			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ð"", ""eɪ"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	present_3s	belt	buckle belt	0.667	0.213			4.044457183487992			20					they	buckle	buckle	belt	belt	one	0													0.667	0.213	grammatical	present_3s	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000012	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Last week they buckled one belt			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""ð"", ""eɪ"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""d"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	simple_past	belt	buckled belt	0.667	0.213			4.044457183487992			22					they	buckle	buckled	belt	belt	one	0													0.667	0.213	grammatical	simple_past	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000013	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			She is buckling two belts			"[""ʃ"", ""iː"", ""ɪ"", ""z"", ""b"", ""ʌ"", ""k"", ""l"", ""ɪ"", ""ŋ"", ""t"", ""uː"", ""b"", ""ɛ"", ""l"", ""t"", ""s""]"	be_progressive	belts	is buckling belts	0.667	0.213			4.044457183487992			17					she	buckle	buckling	belt	belts	two	0													0.667	0.213	grammatical	be_progressive	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000014	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			She does not buckle two belts			"[""ʃ"", ""iː"", ""d"", ""ʌ"", ""z"", ""n"", ""ɑ"", ""t"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""t"", ""uː"", ""b"", ""ɛ"", ""l"", ""t"", ""s""]"	do_negation	belts	does not buckle belts	0.667	0.213			4.044457183487992			20					she	buckle	buckle	belt	belts	two	1													0.667	0.213	grammatical	do_negation	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000015	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Every day she buckles two belts			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""z"", ""t"", ""uː"", ""b"", ""ɛ"", ""l"", ""t"", ""s""]"	present_3s	belts	buckles belts	0.667	0.213			4.044457183487992			21					she	buckle	buckles	belt	belts	two	0													0.667	0.213	grammatical	present_3s	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000016	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Last week she buckled two belts			"[""l"", ""æ"", ""s"", ""t"", ""w"", ""iː"", ""k"", ""ʃ"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""d"", ""t"", ""uː"", ""b"", ""ɛ"", ""l"", ""t"", ""s""]"	simple_past	belts	buckled belts	0.667	0.213			4.044457183487992			22					she	buckle	buckled	belt	belts	two	0													0.667	0.213	grammatical	simple_past	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000017	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			He is buckling two belts			"[""h"", ""iː"", ""ɪ"", ""z"", ""b"", ""ʌ"", ""k"", ""l"", ""ɪ"", ""ŋ"", ""t"", ""uː"", ""b"", ""ɛ"", ""l"", ""t"", ""s""]"	be_progressive	belts	is buckling belts	0.667	0.213			4.044457183487992			17					he	buckle	buckling	belt	belts	two	0													0.667	0.213	grammatical	be_progressive	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000018	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			He does not buckle two belts			"[""h"", ""iː"", ""d"", ""ʌ"", ""z"", ""n"", ""ɑ"", ""t"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""t"", ""uː"", ""b"", ""ɛ"", ""l"", ""t"", ""s""]"	do_negation	belts	does not buckle belts	0.667	0.213			4.044457183487992			20					he	buckle	buckle	belt	belts	two	1													0.667	0.213	grammatical	do_negation	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
CAND_GRAM_000019	Grammaticality	grammatical	1		plus	candidate_pending_human_review			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Every day he buckles two belts			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""z"", ""t"", ""uː"", ""b"", ""ɛ"", ""l"", ""t"", ""s""]"	present_3s	belts	buckles belts	0.667	0.213			4.044457183487992			21					he	buckle	buckles	belt	belts	two	0													0.667	0.213	grammatical	present_3s	grammatical	none				191	538	"{""belt"": 538, ""buckle"": 191}"
