item_id	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	condition	binary_label	sentence	template_family	verb_surface	object_surface	verb_lemma	object_lemma	verb_object_FSG	violation_type	source_record_id	auto_expected_grammatical_yes_no	auto_structure_complete_yes_no	auto_error_annotation_pass_yes_no	human_corrected_event_makes_sense_yes_no	human_sentence_grammatical_yes_no	human_no_extra_errors_yes_no	human_notes_optional
CAND_GRAM_000001	plus	candidate_pending_human_review			grammatical	1	She is buckling one belt	be_progressive	buckling	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000002	plus	candidate_pending_human_review			grammatical	1	She does not buckle one belt	do_negation	buckle	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000003	plus	candidate_pending_human_review			grammatical	1	Every day she buckles one belt	present_3s	buckles	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000004	plus	candidate_pending_human_review			grammatical	1	Last week she buckled one belt	simple_past	buckled	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000005	plus	candidate_pending_human_review			grammatical	1	He is buckling one belt	be_progressive	buckling	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000006	plus	candidate_pending_human_review			grammatical	1	He does not buckle one belt	do_negation	buckle	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000007	plus	candidate_pending_human_review			grammatical	1	Every day he buckles one belt	present_3s	buckles	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000008	plus	candidate_pending_human_review			grammatical	1	Last week he buckled one belt	simple_past	buckled	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000009	plus	candidate_pending_human_review			grammatical	1	They are buckling one belt	be_progressive	buckling	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000010	plus	candidate_pending_human_review			grammatical	1	They do not buckle one belt	do_negation	buckle	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
