item_id	condition	binary_label	split	word1	word2	word1_ipa	word2_ipa	qc_notes
MEANING_0001	high_association	1	train	acre	land	"[""eɪ"", ""k"", ""ə"", ""ɹ""]"	"[""l"", ""æ"", ""n"", ""d""]"	
MEANING_0002	high_association	1	train	bashful	shy	"[""b"", ""æ"", ""ʃ"", ""f"", ""ə"", ""l""]"	"[""ʃ"", ""aɪ""]"	
MEANING_0003	high_association	1	train	beam	light	"[""b"", ""iː"", ""m""]"	"[""l"", ""aɪ"", ""t""]"	
MEANING_0004	high_association	1	train	behind	front	"[""b"", ""ɪ"", ""h"", ""aɪ"", ""n"", ""d""]"	"[""f"", ""ɹ"", ""ʌ"", ""n"", ""t""]"	
MEANING_0005	high_association	1	train	brick	house	"[""b"", ""ɹ"", ""ɪ"", ""k""]"	"[""h"", ""aʊ"", ""s""]"	
MEANING_0006	high_association	1	train	buyer	seller	"[""b"", ""aɪ"", ""ə"", ""ɹ""]"	"[""s"", ""ɛ"", ""l"", ""ə"", ""ɹ""]"	
MEANING_0007	high_association	1	train	calculator	math	"[""k"", ""æ"", ""l"", ""k"", ""j"", ""ʊ"", ""l"", ""eɪ"", ""t"", ""ə"", ""ɹ""]"	"[""m"", ""æ"", ""θ""]"	
MEANING_0008	high_association	1	train	calf	cow	"[""k"", ""æ"", ""f""]"	"[""k"", ""aʊ""]"	
MEANING_0009	high_association	1	train	canary	bird	"[""k"", ""ə"", ""n"", ""ɛ"", ""ɹ"", ""i""]"	"[""b"", ""ɜː"", ""d""]"	
MEANING_0010	high_association	1	train	chapel	church	"[""t̠ʃ"", ""æ"", ""p"", ""ə"", ""l""]"	"[""t̠ʃ"", ""ɜː"", ""t̠ʃ""]"	
MEANING_0011	high_association	1	train	charge	card	"[""t̠ʃ"", ""ɑ"", ""ɹ"", ""d̠ʒ""]"	"[""k"", ""ɑ"", ""ɹ"", ""d""]"	
MEANING_0012	high_association	1	train	chef	cook	"[""ʃ"", ""ɛ"", ""f""]"	"[""k"", ""ʊ"", ""k""]"	
MEANING_0013	high_association	1	train	choose	pick	"[""t̠ʃ"", ""uː"", ""z""]"	"[""p"", ""ɪ"", ""k""]"	
MEANING_0014	high_association	1	train	chowder	clam	"[""t̠ʃ"", ""aʊ"", ""d"", ""ə"", ""ɹ""]"	"[""k"", ""l"", ""æ"", ""m""]"	
MEANING_0015	high_association	1	train	citrus	fruit	"[""s"", ""ɪ"", ""t"", ""ɹ"", ""ə"", ""s""]"	"[""f"", ""ɹ"", ""uː"", ""t""]"	
MEANING_0016	high_association	1	train	condom	sex	"[""k"", ""ɑ"", ""n"", ""d"", ""ə"", ""m""]"	"[""s"", ""ɛ"", ""k"", ""s""]"	unseen_phase1:condom
MEANING_0017	high_association	1	train	corpse	dead	"[""k"", ""ɔ"", ""ɹ"", ""p"", ""s""]"	"[""d"", ""ɛ"", ""d""]"	
MEANING_0018	high_association	1	train	crust	pie	"[""k"", ""ɹ"", ""ʌ"", ""s"", ""t""]"	"[""p"", ""aɪ""]"	
MEANING_0019	high_association	1	train	depression	sad	"[""d"", ""ɪ"", ""p"", ""ɹ"", ""ɛ"", ""ʃ"", ""ə"", ""n""]"	"[""s"", ""æ"", ""d""]"	unseen_phase1:depression
MEANING_0020	high_association	1	train	differ	same	"[""d"", ""ɪ"", ""f"", ""ə"", ""ɹ""]"	"[""s"", ""eɪ"", ""m""]"	
MEANING_0021	high_association	1	train	dime	nickel	"[""d"", ""aɪ"", ""m""]"	"[""n"", ""ɪ"", ""k"", ""ə"", ""l""]"	
MEANING_0022	high_association	1	train	esteem	self	"[""ɛ"", ""s"", ""t"", ""iː"", ""m""]"	"[""s"", ""ɛ"", ""l"", ""f""]"	
MEANING_0023	high_association	1	train	famished	hungry	"[""f"", ""æ"", ""m"", ""ɪ"", ""ʃ"", ""t""]"	"[""h"", ""ʌ"", ""ŋ"", ""ɡ"", ""ɹ"", ""i""]"	unseen_phase1:famished
MEANING_0024	high_association	1	train	flee	run	"[""f"", ""l"", ""iː""]"	"[""ɹ"", ""ʌ"", ""n""]"	
MEANING_0025	high_association	1	train	flex	muscle	"[""f"", ""l"", ""ɛ"", ""k"", ""s""]"	"[""m"", ""ʌ"", ""s"", ""ə"", ""l""]"	unseen_phase1:flex
MEANING_0026	high_association	1	train	flu	sick	"[""f"", ""l"", ""uː""]"	"[""s"", ""ɪ"", ""k""]"	
MEANING_0027	high_association	1	train	flunk	fail	"[""f"", ""l"", ""ʌ"", ""ŋ"", ""k""]"	"[""f"", ""eɪ"", ""l""]"	
MEANING_0028	high_association	1	train	freckle	face	"[""f"", ""ɹ"", ""ɛ"", ""k"", ""ə"", ""l""]"	"[""f"", ""eɪ"", ""s""]"	
MEANING_0029	high_association	1	train	freezer	cold	"[""f"", ""ɹ"", ""iː"", ""z"", ""ə"", ""ɹ""]"	"[""k"", ""oʊ"", ""l"", ""d""]"	
MEANING_0030	high_association	1	train	goblin	ghost	"[""ɡ"", ""ɑ"", ""b"", ""l"", ""ɪ"", ""n""]"	"[""ɡ"", ""oʊ"", ""s"", ""t""]"	
MEANING_0031	high_association	1	train	grasp	hold	"[""ɡ"", ""ɹ"", ""æ"", ""s"", ""p""]"	"[""h"", ""oʊ"", ""l"", ""d""]"	
MEANING_0032	high_association	1	train	hobo	bum	"[""h"", ""oʊ"", ""b"", ""oʊ""]"	"[""b"", ""ʌ"", ""m""]"	
MEANING_0033	high_association	1	train	horizon	sun	"[""h"", ""ə"", ""ɹ"", ""ɹ"", ""aɪ"", ""z"", ""ə"", ""n""]"	"[""s"", ""ʌ"", ""n""]"	
MEANING_0034	high_association	1	train	hum	sing	"[""h"", ""ʌ"", ""m""]"	"[""s"", ""ɪ"", ""ŋ""]"	
MEANING_0035	high_association	1	train	insane	crazy	"[""ɪ"", ""n"", ""s"", ""eɪ"", ""n""]"	"[""k"", ""ɹ"", ""eɪ"", ""z"", ""i""]"	
MEANING_0036	high_association	1	train	jam	jelly	"[""d̠ʒ"", ""æ"", ""m""]"	"[""d̠ʒ"", ""ɛ"", ""l"", ""i""]"	
MEANING_0037	high_association	1	train	labor	work	"[""l"", ""eɪ"", ""b"", ""ə"", ""ɹ""]"	"[""w"", ""ɜː"", ""k""]"	
MEANING_0038	high_association	1	train	leap	jump	"[""l"", ""iː"", ""p""]"	"[""d̠ʒ"", ""ʌ"", ""m"", ""p""]"	
MEANING_0039	high_association	1	train	lost	found	"[""l"", ""ɔ"", ""s"", ""t""]"	"[""f"", ""aʊ"", ""n"", ""d""]"	
MEANING_0040	high_association	1	train	male	female	"[""m"", ""eɪ"", ""l""]"	"[""f"", ""iː"", ""m"", ""eɪ"", ""l""]"	
MEANING_0041	high_association	1	train	meal	food	"[""m"", ""iː"", ""l""]"	"[""f"", ""uː"", ""d""]"	
MEANING_0042	high_association	1	train	medium	large	"[""m"", ""iː"", ""d"", ""iə"", ""m""]"	"[""l"", ""ɑ"", ""ɹ"", ""d̠ʒ""]"	
MEANING_0043	high_association	1	train	miner	coal	"[""m"", ""aɪ"", ""n"", ""ə"", ""ɹ""]"	"[""k"", ""oʊ"", ""l""]"	
