item_id	condition	binary_label	split	sentence	template_family	verb_lemma	object_lemma	violation_type	qc_notes
GRAM_0001	finiteness_violation	0	train	Every day he buckle one belt	present_3s	buckle	belt	omitted	
GRAM_0002	finiteness_violation	0	train	Every day he crawl one baby	present_3s	crawl	baby	omitted	
GRAM_0003	finiteness_violation	0	train	Every day he fold one letter	present_3s	fold	letter	omitted	
GRAM_0004	finiteness_violation	0	train	Every day he screw one driver	present_3s	screw	driver	omitted	
GRAM_0005	finiteness_violation	0	train	Every day she buckle one belt	present_3s	buckle	belt	omitted	
GRAM_0006	finiteness_violation	0	train	Every day she buckle two belts	present_3s	buckle	belt	omitted	
GRAM_0007	finiteness_violation	0	train	Every day she crawl one baby	present_3s	crawl	baby	omitted	
GRAM_0008	finiteness_violation	0	train	Every day she crawl two babies	present_3s	crawl	baby	omitted	
GRAM_0009	finiteness_violation	0	train	Every day she fold one letter	present_3s	fold	letter	omitted	
GRAM_0010	finiteness_violation	0	train	Every day she fold two letters	present_3s	fold	letter	omitted	
GRAM_0011	finiteness_violation	0	train	Every day she screw four drivers	present_3s	screw	driver	omitted	
GRAM_0012	finiteness_violation	0	train	Every day she screw one driver	present_3s	screw	driver	omitted	
GRAM_0013	finiteness_violation	0	train	Every day they buckles four belts	present_3s	buckle	belt	added	
GRAM_0014	finiteness_violation	0	train	Every day they buckles one belt	present_3s	buckle	belt	added	
GRAM_0015	finiteness_violation	0	train	Every day they crawls one baby	present_3s	crawl	baby	added	
GRAM_0016	finiteness_violation	0	train	Every day they crawls six babies	present_3s	crawl	baby	added	
GRAM_0017	finiteness_violation	0	train	Every day they folds one letter	present_3s	fold	letter	added	
GRAM_0018	finiteness_violation	0	train	Every day they screws one driver	present_3s	screw	driver	added	
GRAM_0019	finiteness_violation	0	train	Every day they screws two drivers	present_3s	screw	driver	added	
GRAM_0020	finiteness_violation	0	train	He are buckling four belts	be_progressive	buckle	belt	substituted	
GRAM_0021	finiteness_violation	0	train	He are buckling one belt	be_progressive	buckle	belt	substituted	
GRAM_0022	finiteness_violation	0	train	He are crawling four babies	be_progressive	crawl	baby	substituted	
GRAM_0023	finiteness_violation	0	train	He are crawling one baby	be_progressive	crawl	baby	substituted	
GRAM_0024	finiteness_violation	0	train	He are crawling three babies	be_progressive	crawl	baby	substituted	
GRAM_0025	finiteness_violation	0	train	He are crawling two babies	be_progressive	crawl	baby	substituted	
GRAM_0026	finiteness_violation	0	train	He are folding five letters	be_progressive	fold	letter	substituted	
GRAM_0027	finiteness_violation	0	train	He are folding four letters	be_progressive	fold	letter	substituted	
GRAM_0028	finiteness_violation	0	train	He are folding one letter	be_progressive	fold	letter	substituted	
GRAM_0029	finiteness_violation	0	train	He are nailing two hammers	be_progressive	nail	hammer	substituted	
GRAM_0030	finiteness_violation	0	train	He are screwing four drivers	be_progressive	screw	driver	substituted	
GRAM_0031	finiteness_violation	0	train	He are screwing one driver	be_progressive	screw	driver	substituted	
GRAM_0032	finiteness_violation	0	train	He do not buckle one belt	do_negation	buckle	belt	substituted	
GRAM_0033	finiteness_violation	0	train	He do not crawl five babies	do_negation	crawl	baby	substituted	
GRAM_0034	finiteness_violation	0	train	He do not crawl one baby	do_negation	crawl	baby	substituted	
GRAM_0035	finiteness_violation	0	train	He do not fold one letter	do_negation	fold	letter	substituted	
GRAM_0036	finiteness_violation	0	train	He do not screw one driver	do_negation	screw	driver	substituted	
GRAM_0037	finiteness_violation	0	train	He do not screw two drivers	do_negation	screw	driver	substituted	
GRAM_0038	finiteness_violation	0	train	Last week he buckle one belt	simple_past	buckle	belt	omitted	
GRAM_0039	finiteness_violation	0	train	Last week he crawl one baby	simple_past	crawl	baby	omitted	
GRAM_0040	finiteness_violation	0	train	Last week he crawl two babies	simple_past	crawl	baby	omitted	
GRAM_0041	finiteness_violation	0	train	Last week he fold one letter	simple_past	fold	letter	omitted	
GRAM_0042	finiteness_violation	0	train	Last week he fold six letters	simple_past	fold	letter	omitted	
GRAM_0043	finiteness_violation	0	train	Last week he screw four drivers	simple_past	screw	driver	omitted	
GRAM_0044	finiteness_violation	0	train	Last week he screw one driver	simple_past	screw	driver	omitted	
GRAM_0045	finiteness_violation	0	train	Last week he screw two drivers	simple_past	screw	driver	omitted	
GRAM_0046	finiteness_violation	0	train	Last week she buckle one belt	simple_past	buckle	belt	omitted	
GRAM_0047	finiteness_violation	0	train	Last week she buckling two belts	simple_past	buckle	belt	omitted	
GRAM_0048	finiteness_violation	0	train	Last week she crawling two babies	simple_past	crawl	baby	omitted	
GRAM_0049	finiteness_violation	0	train	Last week she fold five letters	simple_past	fold	letter	omitted	
GRAM_0050	finiteness_violation	0	train	Last week she folding two letters	simple_past	fold	letter	omitted	
GRAM_0051	finiteness_violation	0	train	Last week she screw one driver	simple_past	screw	driver	omitted	
GRAM_0052	finiteness_violation	0	train	Last week they buckle four belts	simple_past	buckle	belt	omitted	
GRAM_0053	finiteness_violation	0	train	Last week they buckle one belt	simple_past	buckle	belt	omitted	
GRAM_0054	finiteness_violation	0	train	Last week they buckle two belts	simple_past	buckle	belt	omitted	
GRAM_0055	finiteness_violation	0	train	Last week they crawl one baby	simple_past	crawl	baby	omitted	
GRAM_0056	finiteness_violation	0	train	Last week they fold one letter	simple_past	fold	letter	omitted	
GRAM_0057	finiteness_violation	0	train	Last week they fold two letters	simple_past	fold	letter	omitted	
GRAM_0058	finiteness_violation	0	train	Last week they screw one driver	simple_past	screw	driver	omitted	
GRAM_0059	finiteness_violation	0	train	Last week they screw two drivers	simple_past	screw	driver	omitted	
GRAM_0060	finiteness_violation	0	train	She are buckling one belt	be_progressive	buckle	belt	substituted	
GRAM_0061	finiteness_violation	0	train	She are buckling three belts	be_progressive	buckle	belt	substituted	
GRAM_0062	finiteness_violation	0	train	She are crawling one baby	be_progressive	crawl	baby	substituted	
GRAM_0063	finiteness_violation	0	train	She are crawling three babies	be_progressive	crawl	baby	substituted	
GRAM_0064	finiteness_violation	0	train	She are crawling two babies	be_progressive	crawl	baby	substituted	
GRAM_0065	finiteness_violation	0	train	She are folding one letter	be_progressive	fold	letter	substituted	
GRAM_0066	finiteness_violation	0	train	She are folding two letters	be_progressive	fold	letter	substituted	
GRAM_0067	finiteness_violation	0	train	She are screwing one driver	be_progressive	screw	driver	substituted	
GRAM_0068	finiteness_violation	0	train	She are screwing two drivers	be_progressive	screw	driver	substituted	
GRAM_0069	finiteness_violation	0	train	She do not buckle one belt	do_negation	buckle	belt	substituted	
GRAM_0070	finiteness_violation	0	train	She do not buckle three belts	do_negation	buckle	belt	substituted	
GRAM_0071	finiteness_violation	0	train	She do not buckle two belts	do_negation	buckle	belt	substituted	
GRAM_0072	finiteness_violation	0	train	She do not crawl four babies	do_negation	crawl	baby	substituted	
GRAM_0073	finiteness_violation	0	train	She do not crawl one baby	do_negation	crawl	baby	substituted	
GRAM_0074	finiteness_violation	0	train	She do not crawl three babies	do_negation	crawl	baby	substituted	
GRAM_0075	finiteness_violation	0	train	She do not fold one letter	do_negation	fold	letter	substituted	
GRAM_0076	finiteness_violation	0	train	She do not screw five drivers	do_negation	screw	driver	substituted	
GRAM_0077	finiteness_violation	0	train	She do not screw one driver	do_negation	screw	driver	substituted	
GRAM_0078	finiteness_violation	0	train	She do not screw two drivers	do_negation	screw	driver	substituted	
GRAM_0079	finiteness_violation	0	train	They does not buckle one belt	do_negation	buckle	belt	substituted	
GRAM_0080	finiteness_violation	0	train	They does not crawl two babies	do_negation	crawl	baby	substituted	
GRAM_0081	finiteness_violation	0	train	They does not fold one letter	do_negation	fold	letter	substituted	
GRAM_0082	finiteness_violation	0	train	They does not screw one driver	do_negation	screw	driver	substituted	
GRAM_0083	finiteness_violation	0	train	They is buckling one belt	be_progressive	buckle	belt	substituted	
GRAM_0084	finiteness_violation	0	train	They is crawling one baby	be_progressive	crawl	baby	substituted	
GRAM_0085	finiteness_violation	0	train	They is crawling six babies	be_progressive	crawl	baby	substituted	
GRAM_0086	finiteness_violation	0	train	They is crawling two babies	be_progressive	crawl	baby	substituted	
GRAM_0087	finiteness_violation	0	train	They is folding four letters	be_progressive	fold	letter	substituted	
GRAM_0088	finiteness_violation	0	train	They is screwing one driver	be_progressive	screw	driver	substituted	
GRAM_0089	finiteness_violation	0	train	They is screwing three drivers	be_progressive	screw	driver	substituted	
GRAM_0090	finiteness_violation	0	train	They is screwing two drivers	be_progressive	screw	driver	substituted	
GRAM_0091	grammatical	1	train	Every day he buckles four belts	present_3s	buckle	belt	none	
GRAM_0092	grammatical	1	train	Every day he buckles one belt	present_3s	buckle	belt	none	
GRAM_0093	grammatical	1	train	Every day he buckles two belts	present_3s	buckle	belt	none	
GRAM_0094	grammatical	1	train	Every day he celebrates one birthday	present_3s	celebrate	birthday	none	
GRAM_0095	grammatical	1	train	Every day he celebrates six birthdays	present_3s	celebrate	birthday	none	
GRAM_0096	grammatical	1	train	Every day he celebrates three birthdays	present_3s	celebrate	birthday	none	
