item_id	condition	binary_label	split	word1	word2	word1_ipa	word2_ipa	qc_notes
SOUND_0001	onset	1	train	ache	eight	"[""eɪ"", ""k""]"	"[""eɪ"", ""t""]"	
SOUND_0002	onset	1	train	airs	es	"[""ɛ"", ""ɹ"", ""z""]"	"[""iː"", ""z""]"	
SOUND_0003	onset	1	train	badge	bit	"[""b"", ""æ"", ""d̠ʒ""]"	"[""b"", ""ɪ"", ""t""]"	
SOUND_0004	onset	1	train	barf	blah	"[""b"", ""ɑ"", ""ɹ"", ""f""]"	"[""b"", ""l"", ""ɑ""]"	unseen_phase1:barf
SOUND_0005	onset	1	train	beams	begs	"[""b"", ""iː"", ""m"", ""z""]"	"[""b"", ""ɛ"", ""ɡ"", ""z""]"	
SOUND_0006	onset	1	train	begs	bloods	"[""b"", ""ɛ"", ""ɡ"", ""z""]"	"[""b"", ""l"", ""ʌ"", ""d"", ""z""]"	unseen_phase1:bloods
SOUND_0007	onset	1	train	biz	bolts	"[""b"", ""ɪ"", ""z""]"	"[""b"", ""oʊ"", ""l"", ""t"", ""s""]"	
SOUND_0008	onset	1	train	blares	bot	"[""b"", ""l"", ""ɛ"", ""ɹ"", ""z""]"	"[""b"", ""ɑ"", ""t""]"	unseen_phase1:blares
SOUND_0009	onset	1	train	blinks	blurt	"[""b"", ""l"", ""ɪ"", ""ŋ"", ""k"", ""s""]"	"[""b"", ""l"", ""ɜː"", ""t""]"	unseen_phase1:blurt
SOUND_0010	onset	1	train	bolts	bot	"[""b"", ""oʊ"", ""l"", ""t"", ""s""]"	"[""b"", ""ɑ"", ""t""]"	
SOUND_0011	onset	1	train	buds	bus	"[""b"", ""ʌ"", ""d"", ""z""]"	"[""b"", ""ʌ"", ""s""]"	
SOUND_0012	onset	1	train	cash	cog	"[""k"", ""æ"", ""ʃ""]"	"[""k"", ""ɑ"", ""ɡ""]"	
SOUND_0013	onset	1	train	clamp	clout	"[""k"", ""l"", ""æ"", ""m"", ""p""]"	"[""k"", ""l"", ""aʊ"", ""t""]"	unseen_phase1:clout
SOUND_0014	onset	1	train	clasp	kind	"[""k"", ""l"", ""æ"", ""s"", ""p""]"	"[""k"", ""aɪ"", ""n"", ""d""]"	unseen_phase1:clasp
SOUND_0015	onset	1	train	cops	crank	"[""k"", ""ɑ"", ""p"", ""s""]"	"[""k"", ""ɹ"", ""æ"", ""ŋ"", ""k""]"	
SOUND_0016	onset	1	train	deem	dudes	"[""d"", ""iː"", ""m""]"	"[""d"", ""uː"", ""d"", ""z""]"	
SOUND_0017	onset	1	train	don	drone	"[""d"", ""ɑ"", ""n""]"	"[""d"", ""ɹ"", ""oʊ"", ""n""]"	unseen_phase1:drone
SOUND_0018	onset	1	train	fad	fats	"[""f"", ""æ"", ""d""]"	"[""f"", ""æ"", ""t"", ""s""]"	unseen_phase1:fad
SOUND_0019	onset	1	train	fail	fled	"[""f"", ""eɪ"", ""l""]"	"[""f"", ""l"", ""ɛ"", ""d""]"	
SOUND_0020	onset	1	train	farms	fur	"[""f"", ""ɑ"", ""ɹ"", ""m"", ""z""]"	"[""f"", ""ɜː""]"	
SOUND_0021	onset	1	train	fray	frock	"[""f"", ""ɹ"", ""eɪ""]"	"[""f"", ""ɹ"", ""ɑ"", ""k""]"	unseen_phase1:frock
SOUND_0022	onset	1	train	fur	phone	"[""f"", ""ɜː""]"	"[""f"", ""oʊ"", ""n""]"	
SOUND_0023	onset	1	train	furs	phlegm	"[""f"", ""ɜː"", ""z""]"	"[""f"", ""l"", ""ɛ"", ""m""]"	
SOUND_0024	onset	1	train	gents	jug	"[""d̠ʒ"", ""ɛ"", ""n"", ""t"", ""s""]"	"[""d̠ʒ"", ""ʌ"", ""ɡ""]"	unseen_phase1:gents
SOUND_0025	onset	1	train	germ	gist	"[""d̠ʒ"", ""ɜː"", ""m""]"	"[""d̠ʒ"", ""ɪ"", ""s"", ""t""]"	
SOUND_0026	onset	1	train	gist	jar	"[""d̠ʒ"", ""ɪ"", ""s"", ""t""]"	"[""d̠ʒ"", ""ɑ"", ""ɹ""]"	
