item_id	task	condition	binary_label	split	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	source_resource	source_record_id	word1	word2	sentence	word1_ipa	word2_ipa	sentence_ipa	template_id	critical_word	critical_region	association_forward	association_backward	word1_subtlex	word2_subtlex	mean_content_subtlex	word1_n_phonemes	word2_n_phonemes	sentence_n_phonemes	word1_n_syllables	word2_n_syllables	childes_count_word1	childes_count_word2	subject	verb_lemma	verb_surface	object_lemma	object_surface	number_word	negation	overlap_ds003604_exact	overlap_ds003604_critical_vocab	qc_pass	qc_notes	shared_onset	shared_rime	shared_phoneme_count	phonological_relation_verified	cue	target	FSG	BSG	verb_object_FSG	verb_object_BSG	congruence_level	template_family	grammar_subtype	violation_type	violation_location	expected_form	observed_form	childes_count_verb	childes_count_object	content_word_childes_counts
GRAM_0001	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Every day he buckle one belt			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	present_3s	belt	buckles belt	0.667	0.213			4.044457183487992			20					he	buckle	buckle	belt	belt	one	0	0	0	1										0.667	0.213	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	buckles	buckle	191	538	"{""belt"": 538, ""buckle"": 191}"
GRAM_0002	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.C:6319			Every day he crawl one baby			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""k"", ""ɹ"", ""ɔ"", ""l"", ""w"", ""ʌ"", ""n"", ""b"", ""eɪ"", ""b"", ""i""]"	present_3s	baby	crawls baby	0.345	0.0			4.893816865704922			19					he	crawl	crawl	baby	baby	one	0	0	0	1										0.345	0.0	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	crawls	crawl	396	23715	"{""baby"": 23715, ""crawl"": 396}"
GRAM_0003	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.D-F:8939			Every day he fold one letter			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""f"", ""oʊ"", ""l"", ""d"", ""w"", ""ʌ"", ""n"", ""l"", ""ɛ"", ""t"", ""ə"", ""ɹ""]"	present_3s	letter	folds letter	0.026	0.0			4.426451891708581			20					he	fold	fold	letter	letter	one	0	0	0	1										0.026	0.0	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	folds	fold	351	1678	"{""fold"": 351, ""letter"": 1678}"
GRAM_0004	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.S:1140			Every day he screw one driver			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""s"", ""k"", ""ɹ"", ""uː"", ""w"", ""ʌ"", ""n"", ""d"", ""ɹ"", ""aɪ"", ""v"", ""ə"", ""ɹ""]"	present_3s	driver	screws driver	0.302	0.0			4.6247222328466515			21					he	screw	screw	driver	driver	one	0	0	0	1										0.302	0.0	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	screws	screw	816	850	"{""driver"": 850, ""screw"": 816}"
GRAM_0005	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Every day she buckle one belt			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""w"", ""ʌ"", ""n"", ""b"", ""ɛ"", ""l"", ""t""]"	present_3s	belt	buckles belt	0.667	0.213			4.044457183487992			20					she	buckle	buckle	belt	belt	one	0	0	0	1										0.667	0.213	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	buckles	buckle	191	538	"{""belt"": 538, ""buckle"": 191}"
GRAM_0006	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.A-B:7781			Every day she buckle two belts			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""b"", ""ʌ"", ""k"", ""ə"", ""l"", ""t"", ""uː"", ""b"", ""ɛ"", ""l"", ""t"", ""s""]"	present_3s	belts	buckles belts	0.667	0.213			4.044457183487992			20					she	buckle	buckle	belt	belts	two	0	0	0	1										0.667	0.213	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	buckles	buckle	191	538	"{""belt"": 538, ""buckle"": 191}"
GRAM_0007	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.C:6319			Every day she crawl one baby			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""k"", ""ɹ"", ""ɔ"", ""l"", ""w"", ""ʌ"", ""n"", ""b"", ""eɪ"", ""b"", ""i""]"	present_3s	baby	crawls baby	0.345	0.0			4.893816865704922			19					she	crawl	crawl	baby	baby	one	0	0	0	1										0.345	0.0	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	crawls	crawl	396	23715	"{""baby"": 23715, ""crawl"": 396}"
GRAM_0008	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.C:6319			Every day she crawl two babies			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""k"", ""ɹ"", ""ɔ"", ""l"", ""t"", ""uː"", ""b"", ""eɪ"", ""b"", ""i"", ""z""]"	present_3s	babies	crawls babies	0.345	0.0			4.893816865704922			19					she	crawl	crawl	baby	babies	two	0	0	0	1										0.345	0.0	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	crawls	crawl	396	23715	"{""baby"": 23715, ""crawl"": 396}"
GRAM_0009	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.D-F:8939			Every day she fold one letter			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""f"", ""oʊ"", ""l"", ""d"", ""w"", ""ʌ"", ""n"", ""l"", ""ɛ"", ""t"", ""ə"", ""ɹ""]"	present_3s	letter	folds letter	0.026	0.0			4.426451891708581			20					she	fold	fold	letter	letter	one	0	0	0	1										0.026	0.0	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	folds	fold	351	1678	"{""fold"": 351, ""letter"": 1678}"
GRAM_0010	Grammaticality	finiteness_violation	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:Cue_Target_Pairs.D-F:8939			Every day she fold two letters			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""ʃ"", ""iː"", ""f"", ""oʊ"", ""l"", ""d"", ""t"", ""uː"", ""l"", ""ɛ"", ""t"", ""ə"", ""ɹ"", ""z""]"	present_3s	letters	folds letters	0.026	0.0			4.426451891708581			20					she	fold	fold	letter	letters	two	0	0	0	1										0.026	0.0	finiteness_violation	present_3s	finiteness_violation	omitted	verb_phrase	folds	fold	351	1678	"{""fold"": 351, ""letter"": 1678}"
