item_id	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	condition	binary_label	sentence	template_family	verb_surface	object_surface	verb_lemma	object_lemma	verb_object_FSG	violation_type	source_record_id	auto_expected_makes_sense_yes_no	auto_structure_complete_yes_no	auto_usf_condition_pass_yes_no	human_sentence_well_formed_yes_no	human_sentence_makes_sense_yes_no	human_notes_optional
ORIG_PLAUS_0001	ds003604_original	reference_only	SP_S	stereo_PC01.wav	strong_congruence	1	She is singing one song	be_progressive	singing	song	sing	song			ds003604:stereo_PC01.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0002	ds003604_original	reference_only	SP_S	stereo_PC13.wav	strong_congruence	1	They do not tow one car	do_negation	tow	car	tow	car			ds003604:stereo_PC13.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0003	ds003604_original	reference_only	SP_S	stereo_PC14.wav	strong_congruence	1	He does not flush one toilet	do_negation	flush	toilet	flush	toilet			ds003604:stereo_PC14.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0004	ds003604_original	reference_only	SP_S	stereo_PC24.wav	strong_congruence	1	Every day she drives one car	present_3s	drives	car	drive	car			ds003604:stereo_PC24.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0005	ds003604_original	reference_only	SP_S	stereo_PC26.wav	strong_congruence	1	Every day he rides one horse	present_3s	rides	horse	ride	horse			ds003604:stereo_PC26.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0006	ds003604_original	reference_only	SP_S	stereo_PC35.wav	strong_congruence	1	Last week she baked two cakes	simple_past	baked	cakes	bake	cake			ds003604:stereo_PC35.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0007	ds003604_original	reference_only	SP_S	stereo_PC36.wav	strong_congruence	1	Last week they framed three pictures	simple_past	framed	pictures	frame	picture			ds003604:stereo_PC36.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0008	ds003604_original	reference_only	SP_S	stereo_PC47.wav	strong_congruence	1	He is scratching one itch	be_progressive	scratching	itch	scratch	itch			ds003604:stereo_PC47.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0009	ds003604_original	reference_only	SP_S	stereo_PC57.wav	strong_congruence	1	He does not staple two papers	do_negation	staple	papers	staple	paper			ds003604:stereo_PC57.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0010	ds003604_original	reference_only	SP_S	stereo_PC68.wav	strong_congruence	1	Every day they read three books	present_3s	read	books	read	book			ds003604:stereo_PC68.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0011	ds003604_original	reference_only	SP_I	stereo_PI09.wav	incongruent	0	He is planting three shoes	be_progressive	planting	shoes	plant	shoe			ds003604:stereo_PI09.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0012	ds003604_original	reference_only	SP_I	stereo_PI11.wav	incongruent	0	They are bouncing one paper	be_progressive	bouncing	paper	bounce	paper			ds003604:stereo_PI11.wav	no	yes	yes	yes	no	
