item_id	condition	binary_label	split	sentence	template_family	verb_lemma	object_lemma	violation_type	qc_notes
PLAUS_0001	incongruent	0	train	Every day he bangs one approval	present_3s	bang	approval		unseen_phase1:approval
PLAUS_0002	incongruent	0	train	Every day he claims one harm	present_3s	claim	harm		
PLAUS_0003	incongruent	0	train	Every day he claims three harm	present_3s	claim	harm		
PLAUS_0004	incongruent	0	train	Every day he claims two harm	present_3s	claim	harm		
PLAUS_0005	incongruent	0	train	Every day he destroys two sides	present_3s	destroy	side		
PLAUS_0006	incongruent	0	train	Every day he escapes two countries	present_3s	escape	country		
PLAUS_0007	incongruent	0	train	Every day he greets two armies	present_3s	greet	army		
PLAUS_0008	incongruent	0	train	Every day he inspects three trash	present_3s	inspect	trash		
PLAUS_0009	incongruent	0	train	Every day he inspects two trash	present_3s	inspect	trash		
PLAUS_0010	incongruent	0	train	Every day he spares one grass	present_3s	spare	grass		
PLAUS_0011	incongruent	0	train	Every day she bangs one approval	present_3s	bang	approval		unseen_phase1:approval
PLAUS_0012	incongruent	0	train	Every day she claims one harm	present_3s	claim	harm		
PLAUS_0013	incongruent	0	train	Every day she claims two harm	present_3s	claim	harm		
PLAUS_0014	incongruent	0	train	Every day she dances three computers	present_3s	dance	computer		
PLAUS_0015	incongruent	0	train	Every day she destroys three sides	present_3s	destroy	side		
PLAUS_0016	incongruent	0	train	Every day she escapes three countries	present_3s	escape	country		
PLAUS_0017	incongruent	0	train	Every day she greets three armies	present_3s	greet	army		
PLAUS_0018	incongruent	0	train	Every day she inspects one pin	present_3s	inspect	pin		
PLAUS_0019	incongruent	0	train	Every day she inspects two pins	present_3s	inspect	pin		
PLAUS_0020	incongruent	0	train	Every day she inspects two trash	present_3s	inspect	trash		
PLAUS_0021	incongruent	0	train	Every day she rubs three mud	present_3s	rub	mud		
PLAUS_0022	incongruent	0	train	Every day she shatters three tongues	present_3s	shatter	tongue		
PLAUS_0023	incongruent	0	train	Every day she spares one grass	present_3s	spare	grass		
PLAUS_0024	incongruent	0	train	Every day she spares three grasses	present_3s	spare	grass		
PLAUS_0025	incongruent	0	train	Every day she spares two grasses	present_3s	spare	grass		
PLAUS_0026	incongruent	0	train	Every day they bang four approvals	present_3s	bang	approval		unseen_phase1:approval
PLAUS_0027	incongruent	0	train	Every day they bang three approvals	present_3s	bang	approval		unseen_phase1:approval
PLAUS_0028	incongruent	0	train	Every day they bang two approvals	present_3s	bang	approval		unseen_phase1:approval
PLAUS_0029	incongruent	0	train	Every day they claim one harm	present_3s	claim	harm		
PLAUS_0030	incongruent	0	train	Every day they dance one computer	present_3s	dance	computer		
PLAUS_0031	incongruent	0	train	Every day they dance two computers	present_3s	dance	computer		
PLAUS_0032	incongruent	0	train	Every day they destroy three sides	present_3s	destroy	side		
PLAUS_0033	incongruent	0	train	Every day they escape six countries	present_3s	escape	country		
PLAUS_0034	incongruent	0	train	Every day they escape two countries	present_3s	escape	country		
PLAUS_0035	incongruent	0	train	Every day they greet six armies	present_3s	greet	army		
PLAUS_0036	incongruent	0	train	Every day they greet three armies	present_3s	greet	army		
PLAUS_0037	incongruent	0	train	Every day they inspect one pin	present_3s	inspect	pin		
PLAUS_0038	incongruent	0	train	Every day they inspect one trash	present_3s	inspect	trash		
PLAUS_0039	incongruent	0	train	Every day they inspect three trash	present_3s	inspect	trash		
PLAUS_0040	incongruent	0	train	Every day they inspect two trash	present_3s	inspect	trash		
PLAUS_0041	incongruent	0	train	Every day they lean five bolts	present_3s	lean	bolt		
PLAUS_0042	incongruent	0	train	Every day they lean two bolts	present_3s	lean	bolt		
PLAUS_0043	incongruent	0	train	Every day they rub one mud	present_3s	rub	mud		
PLAUS_0044	incongruent	0	train	Every day they rub six mud	present_3s	rub	mud		
PLAUS_0045	incongruent	0	train	Every day they rub three mud	present_3s	rub	mud		
PLAUS_0046	incongruent	0	train	Every day they shatter two tongues	present_3s	shatter	tongue		
PLAUS_0047	incongruent	0	train	Every day they spare three grasses	present_3s	spare	grass		
PLAUS_0048	incongruent	0	train	Every day they spare two grasses	present_3s	spare	grass		
PLAUS_0049	incongruent	0	train	He does not bang three approvals	do_negation	bang	approval		unseen_phase1:approval
PLAUS_0050	incongruent	0	train	He does not bang two approvals	do_negation	bang	approval		unseen_phase1:approval
PLAUS_0051	incongruent	0	train	He does not claim one harm	do_negation	claim	harm		
PLAUS_0052	incongruent	0	train	He does not dance one computer	do_negation	dance	computer		
PLAUS_0053	incongruent	0	train	He does not dance two computers	do_negation	dance	computer		
PLAUS_0054	incongruent	0	train	He does not destroy three sides	do_negation	destroy	side		
PLAUS_0055	incongruent	0	train	He does not escape one country	do_negation	escape	country		
PLAUS_0056	incongruent	0	train	He does not escape two countries	do_negation	escape	country		
PLAUS_0057	incongruent	0	train	He does not greet one army	do_negation	greet	army		
PLAUS_0058	incongruent	0	train	He does not greet two armies	do_negation	greet	army		
PLAUS_0059	incongruent	0	train	He does not rub three mud	do_negation	rub	mud		
PLAUS_0060	incongruent	0	train	He does not spare three grasses	do_negation	spare	grass		
PLAUS_0061	incongruent	0	train	He is dancing three computers	be_progressive	dance	computer		
PLAUS_0062	incongruent	0	train	He is destroying one side	be_progressive	destroy	side		
PLAUS_0063	incongruent	0	train	He is destroying three sides	be_progressive	destroy	side		
PLAUS_0064	incongruent	0	train	He is destroying two sides	be_progressive	destroy	side		
PLAUS_0065	incongruent	0	train	He is greeting two armies	be_progressive	greet	army		
PLAUS_0066	incongruent	0	train	He is leaning two bolts	be_progressive	lean	bolt		
PLAUS_0067	incongruent	0	train	He is sparing two grasses	be_progressive	spare	grass		
PLAUS_0068	incongruent	0	train	Last week he banged three approvals	simple_past	bang	approval		unseen_phase1:approval
PLAUS_0069	incongruent	0	train	Last week he claimed one harm	simple_past	claim	harm		
PLAUS_0070	incongruent	0	train	Last week he claimed two harm	simple_past	claim	harm		
PLAUS_0071	incongruent	0	train	Last week he danced three computers	simple_past	dance	computer		
PLAUS_0072	incongruent	0	train	Last week he destroyed one side	simple_past	destroy	side		
PLAUS_0073	incongruent	0	train	Last week he destroyed three sides	simple_past	destroy	side		
PLAUS_0074	incongruent	0	train	Last week he destroyed two sides	simple_past	destroy	side		
PLAUS_0075	incongruent	0	train	Last week he escaped three countries	simple_past	escape	country		
PLAUS_0076	incongruent	0	train	Last week he greeted two armies	simple_past	greet	army		
PLAUS_0077	incongruent	0	train	Last week he inspected one trash	simple_past	inspect	trash		
PLAUS_0078	incongruent	0	train	Last week he leaned three bolts	simple_past	lean	bolt		
PLAUS_0079	incongruent	0	train	Last week he rubbed five mud	simple_past	rub	mud		
PLAUS_0080	incongruent	0	train	Last week he rubbed one mud	simple_past	rub	mud		
PLAUS_0081	incongruent	0	train	Last week he shattered three tongues	simple_past	shatter	tongue		
PLAUS_0082	incongruent	0	train	Last week he shattered two tongues	simple_past	shatter	tongue		
PLAUS_0083	incongruent	0	train	Last week he spared one grass	simple_past	spare	grass		
PLAUS_0084	incongruent	0	train	Last week she banged one approval	simple_past	bang	approval		unseen_phase1:approval
PLAUS_0085	incongruent	0	train	Last week she banged two approvals	simple_past	bang	approval		unseen_phase1:approval
PLAUS_0086	incongruent	0	train	Last week she claimed two harm	simple_past	claim	harm		
PLAUS_0087	incongruent	0	train	Last week she escaped three countries	simple_past	escape	country		
PLAUS_0088	incongruent	0	train	Last week she greeted one army	simple_past	greet	army		
PLAUS_0089	incongruent	0	train	Last week she greeted three armies	simple_past	greet	army		
PLAUS_0090	incongruent	0	train	Last week she inspected three pins	simple_past	inspect	pin		
