item_id	task	condition	binary_label	split	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	source_resource	source_record_id	word1	word2	sentence	word1_ipa	word2_ipa	sentence_ipa	template_id	critical_word	critical_region	association_forward	association_backward	word1_subtlex	word2_subtlex	mean_content_subtlex	word1_n_phonemes	word2_n_phonemes	sentence_n_phonemes	word1_n_syllables	word2_n_syllables	childes_count_word1	childes_count_word2	subject	verb_lemma	verb_surface	object_lemma	object_surface	number_word	negation	overlap_ds003604_exact	overlap_ds003604_critical_vocab	qc_pass	qc_notes	shared_onset	shared_rime	shared_phoneme_count	phonological_relation_verified	cue	target	FSG	BSG	verb_object_FSG	verb_object_BSG	congruence_level	template_family	grammar_subtype	violation_type	violation_location	expected_form	observed_form	childes_count_verb	childes_count_object	content_word_childes_counts
PLAUS_0001	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he bangs one approval			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""b"", ""æ"", ""ŋ"", ""z"", ""w"", ""ʌ"", ""n"", ""ə"", ""p"", ""ɹ"", ""uː"", ""v"", ""ə"", ""l""]"	present_3s	approval	bangs approval	0.0	0.0			4.112238800411863			22					he	bang	bangs	approval	approval	one	0	0	0	1	unseen_phase1:approval									0.0	0.0	incongruent	present_3s						1724	0	"{""approval"": 0, ""bang"": 1724}"
PLAUS_0002	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he claims one harm			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""k"", ""l"", ""eɪ"", ""m"", ""z"", ""w"", ""ʌ"", ""n"", ""h"", ""ɑ"", ""ɹ"", ""m""]"	present_3s	harm	claims harm	0.0	0.0			4.453456215534956			20					he	claim	claims	harm	harm	one	0	0	0	1										0.0	0.0	incongruent	present_3s						6	13	"{""claim"": 6, ""harm"": 13}"
PLAUS_0003	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he claims three harm			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""k"", ""l"", ""eɪ"", ""m"", ""z"", ""θ"", ""ɹ"", ""iː"", ""h"", ""ɑ"", ""ɹ"", ""m""]"	present_3s	harm	claims harm	0.0	0.0			4.453456215534956			20					he	claim	claims	harm	harm	three	0	0	0	1										0.0	0.0	incongruent	present_3s						6	13	"{""claim"": 6, ""harm"": 13}"
PLAUS_0004	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he claims two harm			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""k"", ""l"", ""eɪ"", ""m"", ""z"", ""t"", ""uː"", ""h"", ""ɑ"", ""ɹ"", ""m""]"	present_3s	harm	claims harm	0.0	0.0			4.453456215534956			19					he	claim	claims	harm	harm	two	0	0	0	1										0.0	0.0	incongruent	present_3s						6	13	"{""claim"": 6, ""harm"": 13}"
PLAUS_0005	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he destroys two sides			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""d"", ""ɪ"", ""s"", ""t"", ""ɹ"", ""ɔɪ"", ""z"", ""t"", ""uː"", ""s"", ""aɪ"", ""d"", ""z""]"	present_3s	sides	destroys sides	0.0	0.0			4.9883760035072395			21					he	destroy	destroys	side	sides	two	0	0	0	1										0.0	0.0	incongruent	present_3s						41	2019	"{""destroy"": 41, ""side"": 2019}"
PLAUS_0006	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he escapes two countries			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""ɛ"", ""s"", ""k"", ""eɪ"", ""p"", ""s"", ""t"", ""uː"", ""k"", ""ʌ"", ""n"", ""t"", ""ɹ"", ""i"", ""z""]"	present_3s	countries	escapes countries	0.0	0.0			4.927624024967237			23					he	escape	escapes	country	countries	two	0	0	0	1										0.0	0.0	incongruent	present_3s						62	234	"{""country"": 234, ""escape"": 62}"
PLAUS_0007	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he greets two armies			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""ɡ"", ""ɹ"", ""iː"", ""t"", ""s"", ""t"", ""uː"", ""ɑ"", ""ɹ"", ""m"", ""i"", ""z""]"	present_3s	armies	greets armies	0.0	0.0			4.326737939401669			20					he	greet	greets	army	armies	two	0	0	0	1										0.0	0.0	incongruent	present_3s						6	108	"{""army"": 108, ""greet"": 6}"
PLAUS_0008	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he inspects three trash			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""ɪ"", ""n"", ""s"", ""p"", ""ɛ"", ""k"", ""t"", ""s"", ""θ"", ""ɹ"", ""iː"", ""t"", ""ɹ"", ""æ"", ""ʃ""]"	present_3s	trash	inspects trash	0.0	0.0			3.8789938088711677			23					he	inspect	inspects	trash	trash	three	0	0	0	1										0.0	0.0	incongruent	present_3s						4	510	"{""inspect"": 4, ""trash"": 510}"
PLAUS_0009	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he inspects two trash			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""ɪ"", ""n"", ""s"", ""p"", ""ɛ"", ""k"", ""t"", ""s"", ""t"", ""uː"", ""t"", ""ɹ"", ""æ"", ""ʃ""]"	present_3s	trash	inspects trash	0.0	0.0			3.8789938088711677			22					he	inspect	inspects	trash	trash	two	0	0	0	1										0.0	0.0	incongruent	present_3s						4	510	"{""inspect"": 4, ""trash"": 510}"
PLAUS_0010	Plausibility	incongruent	0	train	plus	human_reviewed_selected			USF+ds003604-template-abstraction	USF:absent-both-directions			Every day he spares one grass			"[""ɛ"", ""v"", ""ɹ"", ""i"", ""d"", ""eɪ"", ""h"", ""iː"", ""s"", ""p"", ""ɛ"", ""ɹ"", ""z"", ""w"", ""ʌ"", ""n"", ""ɡ"", ""ɹ"", ""æ"", ""s""]"	present_3s	grass	spares grass	0.0	0.0			4.357031067552284			20					he	spare	spares	grass	grass	one	0	0	0	1										0.0	0.0	incongruent	present_3s						109	884	"{""grass"": 884, ""spare"": 109}"
